"X","y"
"XXXXXXXXXXX
XG.....P..X
X.XXX.XGX.X
XOX..OX...X
X.X.X.XXX.X
X...X.....X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX
","L"
"XXXXXXXXXXX
X....G....X
X.XXX.X.X.X
XOX..OXP..X
X.X.X.XXX.X
X...X...G.X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","U"
"XXXXXXXXXXX
X..G......X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXX.X
X...X....PX
X.X.X.XGX.X
X.O.......X
XXXXXXXXXXX","L"
"XXXXXXXXXXX
X..P....G.X
X.XXX.X.X.X
XOXG.OX...X
X.X.X.XXX.X
X...X.....X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","R"
"XXXXXXXXXXX
X..P......X
X.XXX.X.X.X
XOX..OX..GX
XGX.X.XXX.X
X...X.....X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","R"
"XXXXXXXXXXX
X.........X
X.XXX.X.XGX
XOX..OX...X
X.XPX.XXX.X
X...XG....X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","U"
"XXXXXXXXXXX
XG........X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXX.X
X.P.X.G...X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","L"
"XXXXXXXXXXX
X..P......X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXX.X
X...X..G..X
X.X.X.X.XGX
X.O.......X
XXXXXXXXXXX","L"
"XXXXXXXXXXX
X.........X
X.XXX.X.X.X
XOX..OXP..X
X.X.X.XXX.X
X...X.....X
XGX.X.XGX.X
X.O.......X
XXXXXXXXXXX","U"
"XXXXXXXXXXX
X.........X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXXGX
X...X....GX
X.X.X.X.XPX
X.O.......X
XXXXXXXXXXX","D"
"XXXXXXXXXXX
X.........X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXXGX
X...X..G..X
X.X.X.X.X.X
XPO.......X
XXXXXXXXXXX","R"
"XXXXXXXXXXX
X.....G...X
X.XXX.X.XGX
XOX..OX...X
X.X.X.XXXPX
X...X.....X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","D"
"XXXXXXXXXXX
X.........X
X.XXX.X.X.X
XOX..OXG..X
X.X.X.XXX.X
X...X.....X
X.X.XPX.X.X
X.O.....G.X
XXXXXXXXXXX","U"
"XXXXXXXXXXX
X.......G.X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXX.X
X..PX..G..X
X.X.X.X.X.X
X.O.......X
XXXXXXXXXXX","L"
"XXXXXXXXXXX
X.........X
X.XXX.X.X.X
XOX..OX...X
X.X.X.XXX.X
X...X..G..X
X.X.X.X.X.X
XGO....P..X
XXXXXXXXXXX","L"
